start_day_of_week,start_hour_label,total_trips,top_start_station,loop_trip_rate,avg_trip_duration_min,avg_trip_duration_text,avg_trip_distance_miles,avg_speed_mph,top_end_station
Wednesday,11 AM,56580,Broadway & W 51 St,2.4,12.7,12 minutes 42 seconds,1.17,5.53,Broadway & W 53 St
Wednesday,11 PM,29946,W 4 St & 7 Ave S,2.9,14.0,14 minutes 0 seconds,1.42,6.09,Canal St & Rutgers St
Wednesday,12 AM,16034,Norfolk St & Broome St,3.6,14.4,14 minutes 24 seconds,1.43,5.96,Canal St & Rutgers St
Wednesday,12 PM,62820,University Pl & E 14 St,2.7,12.4,12 minutes 24 seconds,1.15,5.56,W 21 St & 6 Ave
Wednesday,2 AM,4785,Mercer St & Spring St,5.2,14.7,14 minutes 42 seconds,1.44,5.88,W 47 St & 9 Ave
Wednesday,2 PM,68349,W 21 St & 6 Ave,2.5,13.2,13 minutes 12 seconds,1.46,6.64,W 41 St & 8 Ave
Wednesday,3 AM,3025,W 40 St & 7 Ave,5.4,14.4,14 minutes 24 seconds,1.4,5.83,Eastern Pkwy & Washington Ave
Wednesday,3 PM,76123,W 21 St & 6 Ave,2.6,13.6,13 minutes 36 seconds,1.26,5.56,W 31 St & 7 Ave
Wednesday,4 AM,3503,Columbia St & Rivington St,3.1,12.3,12 minutes 18 seconds,1.46,7.12,University Pl & E 14 St
Wednesday,4 PM,96546,North Moore St & Greenwich St,2.3,13.6,13 minutes 36 seconds,1.32,5.82,W 31 St & 7 Ave
Wednesday,5 AM,11900,W 41 St & 8 Ave,1.2,10.3,10 minutes 18 seconds,1.35,7.86,E 33 St & 1 Ave
Wednesday,5 PM,142805,E 47 St & Park Ave,1.8,13.5,13 minutes 30 seconds,1.35,6.0,11 Ave & W 41 St
Wednesday,6 AM,34435,6 Ave & W 33 St,0.9,10.2,10 minutes 12 seconds,2.11,12.41,North Moore St & Greenwich St
Wednesday,6 PM,144044,West St & Chambers St,1.9,13.5,13 minutes 30 seconds,1.33,5.91,West St & Chambers St
Wednesday,7 AM,64472,E 33 St & 1 Ave,1.0,10.7,10 minutes 42 seconds,1.33,7.46,E 47 St & Park Ave
Wednesday,7 PM,112165,West St & Chambers St,2.4,13.4,13 minutes 24 seconds,1.28,5.73,West St & Chambers St
Wednesday,8 AM,99498,W 43 St & 10 Ave,1.0,11.3,11 minutes 18 seconds,1.33,7.06,E 47 St & Park Ave
Wednesday,8 PM,81837,West St & Chambers St,2.6,13.3,13 minutes 18 seconds,1.28,5.77,West St & Chambers St
Wednesday,9 AM,76040,9 Ave & W 33 St,1.2,11.2,11 minutes 12 seconds,1.24,6.64,9 Ave & W 33 St
Wednesday,9 PM,55315,Metropolitan Ave & Bedford Ave,2.8,13.3,13 minutes 18 seconds,1.28,5.77,11 Ave & W 41 St
